PC1,PC2,Cluster,HC_Cluster,DBscan_Cluster
-0.33685532876815283,2.049384249834211,0,2,1
-0.3032546014028901,-0.4055767340665738,1,0,0
1.87997073965673,-2.398454615272377,2,1,0
-1.0837671656761292,-1.70849602225193,1,3,0
-1.5953210126660757,0.5038583737468685,0,0,0
-1.3411779545032738,-1.657764270308732,1,3,0
-1.8755503309617303,-1.2177949074383125,1,3,0
0.44894467951742467,-1.215956933949864,1,3,0
0.9656367499977149,-0.6890019515209513,2,1,1
0.025262186434899612,-0.7652603546159341,1,2,1
1.7301406680095042,0.524326514784131,2,1,-1
-1.1165120337619634,-1.203501164315242,1,3,0
1.7987126553636532,0.580692127701694,2,1,1
0.4697312839855484,1.1072285836056504,0,0,0
-0.009606216210114657,-1.4444484418455135,1,2,1
0.37193477850975937,1.2102506422581503,0,2,1
-1.116167271706467,-1.4583787262028838,1,3,0
-1.7367244614490596,1.7398172789832518,0,0,0
-1.4562219104117358,-0.3739555722082713,1,0,0
-0.12485691390285313,-3.6727069746486585,1,2,-1
-0.9156212412663942,-0.9655770440141862,1,3,0
2.527708367853892,1.3372744960389609,2,1,1
-0.2896685890658543,-0.3632120089895406,1,3,0
-0.733156857866162,1.2267383578267113,0,0,0
-0.08397174000220663,0.5083651202474144,0,0,0
-1.273780953047863,-0.06647381435655626,1,2,1
-2.022774375977324,0.4486135407588018,1,0,0
0.9394923929359184,-0.7105164896474215,2,3,0
1.4587218104372501,2.252160760862241,0,1,-1
-1.6788331316104383,0.8162105818913672,0,0,0
-1.746087654036897,1.9952820633218364,0,0,0
2.001367954860634,-2.1050796474833295,2,1,1
-2.175612058674917,0.14133123525219835,1,0,0
-0.00487788780693004,-1.0964135691143984,1,3,0
-0.17886143343786504,0.7198016244647062,0,0,0
2.293399405929019,-0.9250824411052533,2,1,1
4.636598503526676,2.0503653735631295,2,1,-1
-1.108434931226164,1.5084871710944585,0,0,0
-0.8609578326438294,0.7070732105735839,0,0,0
0.42799814469794384,-0.17268488171327515,1,2,1
-0.8172582981731704,-0.30793792538500264,1,3,0
0.1396753068505502,0.40520394105645957,0,0,0
0.13461078860513842,0.2342431720346045,0,0,0
-0.15133792567211868,0.7061931936003936,0,0,0
-1.2980521933554625,0.6406580828037907,1,3,0
3.5525815767825435,-0.904074862587798,2,1,1
1.546510674554683,-1.2472032310843857,2,1,1
1.5115883120970308,0.7693546329818539,2,1,1
0.2403981437750483,0.9409582726896121,0,2,1
-0.9563419779723376,-0.018873739715533893,1,3,0
0.5638836766235257,0.4623459687356781,0,1,1
-1.8024091804272337,-0.5780699475407748,1,3,0
-1.1181280659006565,0.12608335347700428,1,0,0
1.5099784158709832,1.582543527729338,0,0,0
-2.1380539673795593,-1.0202414129285469,1,3,0
0.8761520193047124,-0.6405312414393356,2,2,-1
-0.7204363437091827,0.8809843978462908,0,2,1
-0.39557774704938664,0.2931007216238036,0,0,0
-0.5789897722626994,-0.30989018100699534,1,3,0
-1.9320030039967373,-0.22988981310703885,1,3,0
2.487117917971521,1.8343065170472306,2,1,1
0.6707851813332918,-0.9215892458474657,1,0,0
-0.7660155549365815,2.7736545051226593,0,0,0
-1.9133525115499628,0.7028610128349383,0,0,0
0.741159105474098,-1.9804600787981317,1,3,0
1.0175370744892431,0.7677377367709893,0,0,0
0.7881816693936371,0.6500963132584577,0,2,1
-0.9981555284054788,0.6188764766310513,0,0,0
-0.7973037748733526,-1.0897397519497605,1,3,0
2.139531267006233,-0.17389663719951265,2,1,1
1.4846693937249815,1.445141261586006,0,1,1
1.87238246252011,1.2246119792485264,2,2,-1
-0.304568862196822,0.16563592060523258,1,0,0
-0.912358422089449,3.5696827516265057,0,0,-1
3.8210225035272316,-0.41758228904609573,2,1,1
-0.4847760839774257,-1.095993812259686,1,2,1
-0.4623293245976189,-0.10186211687201947,1,2,1
-0.42712541741638943,0.5079718668615074,0,0,0
-1.565322167366399,-1.4077173799755227,1,2,1
-0.3203912648329088,1.263643383149467,0,0,0
0.08858982095169124,0.43534801656040906,0,0,0
-0.8529191484431181,-0.19659858345006298,1,2,1
1.2456581864253855,3.146885991576383,0,0,-1
0.265848482913284,-1.542736684503677,1,3,0
-1.4444803233864576,-0.5260647455656307,1,2,1
-0.7268395337215225,0.8804893262583736,0,0,0
-2.178633256338709,-0.029967029364746146,1,2,1
-1.4275042401713667,-1.1791344810227167,1,3,0
0.2815132470629351,0.8336941664455599,0,0,0
-1.629121627731282,0.32678286398030654,1,0,0
1.473277160915571,1.4179267959565969,0,1,1
2.679697466480657,-2.4856121590259583,2,1,1
2.664008277770311,-1.5703908660721333,2,1,1
-2.159688173685972,-0.5206287427321942,1,3,0
-1.7326559754580577,0.15990009762460702,1,3,0
-1.1762094431297387,2.0861392508559775,0,0,0
-0.061843675978684766,-0.2724028767348073,1,0,0
-1.7435381947613975,-0.31099109753727006,1,3,0
-0.2153171717030187,-1.7262519241633671,1,2,1
0.48727326691505696,5.298262299197203,0,0,-1
-1.8027594632632282,-1.2490393670094446,1,3,0
-1.2101934981930733,1.031848622414537,0,0,0
